"source","facility_type","name","lat","lon","address"
"Schools","private school","Success Academy",41.6874747627952,-86.2969175622348,"Success Academy South Bend, Curtiss Drive, Beacon Heights Apartments, South Bend, Saint Joseph County, Indiana, 46628, United States"
"Public Services","emergency services","Warren Twp. Sta. 1",41.6959795230005,-86.3802049849996,"54837 Quince Road
South Bend, Indiana 46619"
"Public Services","emergency services","Mishawaka Fire Dept. Station #4",41.6514629920005,-86.1309619409997,"3000 Harrison Rd
Mishawaka, Indiana 46544"
"Public Services","emergency services","Portage Twp. Fire",41.6790101200005,-86.3243606499997,"23626 Fillmore
South Bend, Indiana 46619"
"Public Services","emergency services","South Bend Fire Dept. Station #10",41.6197449910005,-86.2252040219997,"5303 York Road
South Bend, Indiana 46614"
"Public Services","emergency services","North Liberty Fire",41.5344197320005,-86.4271202729997,"112 S. State Street
North Liberty, Indiana 46554"
"Public Services","public library","St. Joseph Co. Public Library North Liberty Branch",41.5373208690005,-86.4278909159997,"105 E Market St
North Liberty, Indiana 46554"
"Public Services","emergency services","South Bend Fire Dept. Station #4",41.6784532810005,-86.2834345729997,"220 N. Olive St.
South Bend, Indiana 46628"
"Public Services","public library","St. Joseph Co. Public Library Lakeville Branch",41.5254707980005,-86.2740508479997,"120 N Michigan St
Lakeville, Indiana 46536"
"Public Services","emergency services","South Bend Fire Dept. Station #7",41.6965305720005,-86.2705801739997,"1616 Portage Ave.
South Bend, Indiana 46616"
"Public Services","emergency services","Mishawaka EMS Station",41.6662209370004,-86.1778905799997,"333 E. Mishawaka Ave
Mishawaka, Indiana 46545"
"Public Services","emergency services","South Bend Fire Dept. Station #2",41.6800978530005,-86.2598173109997,"402 Martin Luther King Jr Dr
South Bend, Indiana 46601"
"Public Services","emergency services","Penn North Fire",41.6805103910005,-86.1321207709997,"13750 McKinley
Mishawaka, Indiana 46545"
"Public Services","emergency services","South Bend Fire Dept. Station #6",41.6718347320005,-86.3071817629997,"4302 W. Western Ave.
South Bend, Indiana 46619"
"Public Services","public library","St. Joseph Co. Public Library LaSalle Branch",41.6890511080005,-86.2955201739996,"3232 Ardmore Tr.
South Bend, Indiana 46628"
"Public Services","emergency services","Madison Twp. Fire",41.5258034720005,-86.1693985969997,"66341 SR 331
Wyatt, Indiana 46595"
"Public Services","emergency services","New Carlisle Fire",41.7064601110005,-86.5199666759997,"210 Michigan
New Carlisle, Indiana 46552"
"Public Services","emergency services","South Bend Fire Dept. Station #9",41.6657208470005,-86.2110210029996,"2520 Mishawaka Ave.
South Bend, Indiana 46615"
"Public Services","emergency services","South Bend Fire Dept. Station #5",41.6499311210005,-86.2815510549997,"2221 Prairie Ave.
South Bend, Indiana 46614"
"Public Services","public library","St. Joseph Co. Public Library Centre Township Branch",41.6076504240005,-86.2337808839997,"1150 Kern Rd
South Bend, Indiana 46614"
"Public Services","public library","St. Joseph Co. Public Library Tutt Branch",41.6511709770005,-86.2348905319997,"2223 Miami St.
South Bend, Indiana 46613"
"Public Services","emergency services","Centre Twp. Fire",41.6083372610005,-86.2531160489997,"19971 Kern Road
South Bend, Indiana 46614"
"Public Services","emergency services","Mishawaka Police Department",41.6621865130005,-86.1793093179996,"200 N CHURCH ST
Mishawaka, Indiana 46544"
"Public Services","public library","St. Joseph Co. Public Library Western Branch",41.7080112780005,-86.3076957779996,"611 Lombardy Dr
South Bend, Indiana 46628"
"Public Services","emergency services","New Carlisle Ambulanc",41.7064601110005,-86.5199666759997,"210 Michigan
New Carlisle, Indiana 46552"
"Public Services","public library","Mishawaka Public Library",41.6610869600005,-86.1790424659997,"209 Lincoln Way East
Mishawaka, Indiana 46544"
"Public Services","emergency services","Penn South Sta. 2",41.6295526030005,-86.1526771529997,"10701 Ireland Road
Mishawaka, Indiana 46544"
"Public Services","emergency services","Mishawaka Fire Dept. Station #3",41.7094694660005,-86.1776610129996,"333 E Douglas Road
Mishawaka, Indiana 46645"
"Public Services","emergency services","South Bend Fire Dept. Station #8",41.6226840600005,-86.2474783459997,"2402 Twykenham Dr.
South Bend, Indiana 46614"
"Public Services","emergency services","South Bend Police Department",41.6645238230005,-86.3268999889997,"101 W SAMPLE
South Bend, Indiana 46619"
